column_name,question_text,question_type,value,value_label,group
S5,In which country are you located?,categorical,71,Indonesia,
S5,In which country are you located?,categorical,72,Laos,
S5,In which country are you located?,categorical,73,Malaysia,
S5,In which country are you located?,categorical,74,Myanmar,
S5,In which country are you located?,categorical,75,Thailand,
S5,In which country are you located?,categorical,76,Timor-Leste,
S5,In which country are you located?,categorical,77,Vietnam,
S5,In which country are you located?,categorical,78,Pakistan,
S5,In which country are you located?,categorical,79,Bangladesh,
S5,In which country are you located?,categorical,80,Nepal,
S5,In which country are you located?,categorical,81,Sri Lanka,
S5,In which country are you located?,categorical,82,Maldives,
S5,In which country are you located?,categorical,83,Bhutan,
S5,In which country are you located?,categorical,84,Afghanistan,
S5,In which country are you located?,categorical,85,Bahrain,
S5,In which country are you located?,categorical,86,Iraq,
S5,In which country are you located?,categorical,87,Israel,
S5,In which country are you located?,categorical,88,Jordan,
S5,In which country are you located?,categorical,89,Kuwait,
S5,In which country are you located?,categorical,90,Lebanon,
S5,In which country are you located?,categorical,91,Oman,
S5,In which country are you located?,categorical,92,Palestine,
S5,In which country are you located?,categorical,93,Qatar,
S5,In which country are you located?,categorical,94,Saudi Arabia,
S5,In which country are you located?,categorical,95,Syria,
S5,In which country are you located?,categorical,96,United Arab Emirates,
S5,In which country are you located?,categorical,97,Yemen,
S5,In which country are you located?,categorical,98,Turkey,
S5,In which country are you located?,categorical,99,Iran,
S5,In which country are you located?,categorical,100,All others,
qRegion,Hidden Region Classification,categorical,1,North America,S4
qRegion,Hidden Region Classification,categorical,2,South America,S4
qRegion,Hidden Region Classification,categorical,3,Common Europe,S4
qRegion,Hidden Region Classification,categorical,4,Northern and Western Europe,S4
qRegion,Hidden Region Classification,categorical,5,Southern Europe,S4
qRegion,Hidden Region Classification,categorical,6,Eastern Europe,S4
qRegion,Hidden Region Classification,categorical,7,Common Asia,S4
qRegion,Hidden Region Classification,categorical,8,China,S4
qRegion,Hidden Region Classification,categorical,9,East and Central Asia,S4
qRegion,Hidden Region Classification,categorical,10,South and Southeast Asia,S4
qRegion,Hidden Region Classification,categorical,11,Middle East,S4
qRegion,Hidden Region Classification,categorical,12,All others,S4
S5_dept,Which of the following best matches your department?,categorical,1,Executive Management.,
S5_dept,Which of the following best matches your department?,categorical,2,"Engineering: Responsible for designing the product. Keywords include design, requirements, model, analysis, simulation, drawing, diagram, and systems.",
S5_dept,Which of the following best matches your department?,categorical,3,Manufacturing or Operations: Responsible for making the product.,
S5_dept,Which of the following best matches your department?,categorical,4,Procurement or Sourcing: Responsible for awarding contracts with suppliers to receive goods to make products.,
S5_dept,Which of the following best matches your department?,categorical,5,Service or Maintenance: Responsible for servicing or maintaining the product.,
S5_dept,Which of the following best matches your department?,categorical,6,Sales or Marketing: Responsible for marketing and selling the product.,
S5_dept,Which of the following best matches your department?,categorical,7,Finance or Legal: Responsible for tracking and managing fiscal or legal matters for the company.,
S5_dept,Which of the following best matches your department?,categorical,8,"Human Resources: Responsible for managing HR related functions like recruitment, onboarding, termination, employee engagement and fulfillment, and compliance with regulatory and legal statutes.",
S5_dept,Which of the following best matches your department?,categorical,9,"Information Technology: Responsible for acquiring, installing, and maintaining technology infrastructure, software, hardware, and security.",
A1A,"To what extent has your company automated manufacturing production using operational technology like PLCs, HMIs, drives, and other industrial controls?",categorical,1,None: None of the operations are automated,
A1A,"To what extent has your company automated manufacturing production using operational technology like PLCs, HMIs, drives, and other industrial controls?",categorical,2,One-Quarter,
A1A,"To what extent has your company automated manufacturing production using operational technology like PLCs, HMIs, drives, and other industrial controls?",categorical,3,One-Half,
A1A,"To what extent has your company automated manufacturing production using operational technology like PLCs, HMIs, drives, and other industrial controls?",categorical,4,Three-Quarters,
A1A,"To what extent has your company automated manufacturing production using operational technology like PLCs, HMIs, drives, and other industrial controls?",categorical,5,All: All operations are automated,
A0r1,Production and Assembly,boolean,1,Production and Assembly,A0
A0r2,"Metal Machining, Forming, Stamping",boolean,1,"Metal Machining, Forming, Stamping",A0
A0r3,Plastic Injection Molding,boolean,1,Plastic Injection Molding,A0
A0r4,Material Handling or Packaging,boolean,1,Material Handling or Packaging,A0
A0r5,Quality Inspection and Control,boolean,1,Quality Inspection and Control,A0
A0r6,Machine Tending,boolean,1,Machine Tending,A0
A0r7,Process Monitoring and Supervisory Control,boolean,1,Process Monitoring and Supervisory Control,A0
A0r8,Inventory Management,boolean,1,Inventory Management,A0
A0r9,Data Collection,boolean,1,Data Collection,A0
A0r10,Predictive Maintenance,boolean,1,Predictive Maintenance,A0
A2A,Is your organization OT network connected to the internet? An OT (operational technology) network connects industrial controls like PLCs together so they can be monitored. It is not required that the OT network be connected to the internet.,categorical,1,No: Our OT network is not connected to the internet.,
A2A,Is your organization OT network connected to the internet? An OT (operational technology) network connects industrial controls like PLCs together so they can be monitored. It is not required that the OT network be connected to the internet.,categorical,2,Yes: Our OT network is connected to the internet without additional security.,
A2A,Is your organization OT network connected to the internet? An OT (operational technology) network connects industrial controls like PLCs together so they can be monitored. It is not required that the OT network be connected to the internet.,categorical,3,Yes: Our OT network is connected to the internet with additional security.,
A3A,"Does your organization send production data, such as information presented through SCADA systems, to an external cloud platform?",categorical,1,No: We do not send production data to a cloud platform.,
A3A,"Does your organization send production data, such as information presented through SCADA systems, to an external cloud platform?",categorical,2,Yes: We send production data to a cloud platform.,
A4A,Does your organization use artificial intelligence or machine learning to analyze your production data on the external cloud platform?,categorical,1,No: We do not use AI or ML on our production data.,
A4A,Does your organization use artificial intelligence or machine learning to analyze your production data on the external cloud platform?,categorical,2,Yes: We do use AI or ML on our production data.,
QB1,"Please speak to your company's interest and/or pursuit of industry 4.0, the ability to stream production data to the cloud and analyze it using AI. Is this concept compelling? If pursued, has it delivered value? What are your company's plans for the future?",text,,,
CP_FLAG_QB1,"Hidden: QB1 = Flag if Cut, Copy, Paste",boolean,1,TRUE,
CP_FLAG_QB1,"Hidden: QB1 = Flag if Cut, Copy, Paste",boolean,0,FALSE,
HID_API_QB1_F1,Dummy holds follow-up question back from smart probe api,text,,,
QB1_Score,Score from api,text,,,
QB1_F1,pipe:HID_API_QB1_F1,text,,,
CP_FLAG_QB1_F1,"Hidden: QB1_F1 = Flag if Cut, Copy, Paste",boolean,1,TRUE,
CP_FLAG_QB1_F1,"Hidden: QB1_F1 = Flag if Cut, Copy, Paste",boolean,0,FALSE,
QB1_F1_Score,Score from api,text,,,
Competency,Hidden: Displaying up to 3 Competency,boolean,0,Unchecked,Competency
Competency,Hidden: Displaying up to 3 Competency,boolean,1,Checked,Competency
Competencyr1,Design-Driven Manufacturing,boolean,0,Unchecked,Competency
Competencyr1,Design-Driven Manufacturing,boolean,1,Checked,Competency
Competencyr2,Agile Production Configuration,boolean,0,Unchecked,Competency
Competencyr2,Agile Production Configuration,boolean,1,Checked,Competency
Competencyr3,Data-Driven Transparency,boolean,0,Unchecked,Competency
Competencyr3,Data-Driven Transparency,boolean,1,Checked,Competency
Competencyr4,Seamless Automation,boolean,0,Unchecked,Competency
Competencyr4,Seamless Automation,boolean,1,Checked,Competency
Competencyr5,Adaptable Production,boolean,0,Unchecked,Competency
Competencyr5,Adaptable Production,boolean,1,Checked,Competency
Competencyr6,Flawless Commissioning,boolean,0,Unchecked,Competency
Competencyr6,Flawless Commissioning,boolean,1,Checked,Competency
Competencyr7,AI-Powered Production,boolean,0,Unchecked,Competency
Competencyr7,AI-Powered Production,boolean,1,Checked,Competency
Competencyr8,Quality Culture,boolean,0,Unchecked,Competency
Competencyr8,Quality Culture,boolean,1,Checked,Competency
Competencyr9,Strategic Asset Utilization,boolean,0,Unchecked,Competency
Competencyr9,Strategic Asset Utilization,boolean,1,Checked,Competency
Competencyr10,Production Exploration,boolean,0,Unchecked,Competency
Competencyr10,Production Exploration,boolean,1,Checked,Competency
Competencyr11,Connected Factory Security,boolean,0,Unchecked,Competency
Competencyr11,Connected Factory Security,boolean,1,Checked,Competency
B1_1,"Which of the following best describes your company’s efforts to pursue Design-Driven Manufacturing? Design-Driven Manufacturing enables seamless integration of digital product data from multiple sources into a secure, version-controlled environment, eliminating manual data re-entry and reducing errors. By connecting open manufacturing tools with existing systems, it streamlines operations, enhances collaboration, and supports a culture of quality throughout the production process.",categorical,1,Not Pursued or Planned: Our company hasn’t pursued any effort like this.,
B1_1,"Which of the following best describes your company’s efforts to pursue Design-Driven Manufacturing? Design-Driven Manufacturing enables seamless integration of digital product data from multiple sources into a secure, version-controlled environment, eliminating manual data re-entry and reducing errors. By connecting open manufacturing tools with existing systems, it streamlines operations, enhances collaboration, and supports a culture of quality throughout the production process.",categorical,2,Planning Pursuit: Our company is planning to pursue this effort.,
B1_1,"Which of the following best describes your company’s efforts to pursue Design-Driven Manufacturing? Design-Driven Manufacturing enables seamless integration of digital product data from multiple sources into a secure, version-controlled environment, eliminating manual data re-entry and reducing errors. By connecting open manufacturing tools with existing systems, it streamlines operations, enhances collaboration, and supports a culture of quality throughout the production process.",categorical,3,Partially Pursued and Completed: Our company’s pursuit of this effort is in progress.,
B1_1,"Which of the following best describes your company’s efforts to pursue Design-Driven Manufacturing? Design-Driven Manufacturing enables seamless integration of digital product data from multiple sources into a secure, version-controlled environment, eliminating manual data re-entry and reducing errors. By connecting open manufacturing tools with existing systems, it streamlines operations, enhances collaboration, and supports a culture of quality throughout the production process.",categorical,4,Pursued and Completed: Our company has pursued and completed this effort.,
B1_1,"Which of the following best describes your company’s efforts to pursue Design-Driven Manufacturing? Design-Driven Manufacturing enables seamless integration of digital product data from multiple sources into a secure, version-controlled environment, eliminating manual data re-entry and reducing errors. By connecting open manufacturing tools with existing systems, it streamlines operations, enhances collaboration, and supports a culture of quality throughout the production process.",categorical,5,I do not understand what Design-Driven Manufacturing means or the definition is ambiguous.,
B2_1,"Which of the following best describes the value of Design-Driven Manufacturing to your company? Design-Driven Manufacturing enables seamless integration of digital product data from multiple sources into a secure, version-controlled environment, eliminating manual data re-entry and reducing errors. By connecting open manufacturing tools with existing systems, it streamlines operations, enhances collaboration, and supports a culture of quality throughout the production process.",categorical,0,0 No Value: This capability drives no value for our company.,
B2_1,"Which of the following best describes the value of Design-Driven Manufacturing to your company? Design-Driven Manufacturing enables seamless integration of digital product data from multiple sources into a secure, version-controlled environment, eliminating manual data re-entry and reducing errors. By connecting open manufacturing tools with existing systems, it streamlines operations, enhances collaboration, and supports a culture of quality throughout the production process.",categorical,1,1,
B2_1,"Which of the following best describes the value of Design-Driven Manufacturing to your company? Design-Driven Manufacturing enables seamless integration of digital product data from multiple sources into a secure, version-controlled environment, eliminating manual data re-entry and reducing errors. By connecting open manufacturing tools with existing systems, it streamlines operations, enhances collaboration, and supports a culture of quality throughout the production process.",categorical,2,2,
B2_1,"Which of the following best describes the value of Design-Driven Manufacturing to your company? Design-Driven Manufacturing enables seamless integration of digital product data from multiple sources into a secure, version-controlled environment, eliminating manual data re-entry and reducing errors. By connecting open manufacturing tools with existing systems, it streamlines operations, enhances collaboration, and supports a culture of quality throughout the production process.",categorical,3,3,
B2_1,"Which of the following best describes the value of Design-Driven Manufacturing to your company? Design-Driven Manufacturing enables seamless integration of digital product data from multiple sources into a secure, version-controlled environment, eliminating manual data re-entry and reducing errors. By connecting open manufacturing tools with existing systems, it streamlines operations, enhances collaboration, and supports a culture of quality throughout the production process.",categorical,4,4,
B2_1,"Which of the following best describes the value of Design-Driven Manufacturing to your company? Design-Driven Manufacturing enables seamless integration of digital product data from multiple sources into a secure, version-controlled environment, eliminating manual data re-entry and reducing errors. By connecting open manufacturing tools with existing systems, it streamlines operations, enhances collaboration, and supports a culture of quality throughout the production process.",categorical,5,5 Moderate Value: This capability drives moderate value for our company.,
B2_1,"Which of the following best describes the value of Design-Driven Manufacturing to your company? Design-Driven Manufacturing enables seamless integration of digital product data from multiple sources into a secure, version-controlled environment, eliminating manual data re-entry and reducing errors. By connecting open manufacturing tools with existing systems, it streamlines operations, enhances collaboration, and supports a culture of quality throughout the production process.",categorical,6,6,
B2_1,"Which of the following best describes the value of Design-Driven Manufacturing to your company? Design-Driven Manufacturing enables seamless integration of digital product data from multiple sources into a secure, version-controlled environment, eliminating manual data re-entry and reducing errors. By connecting open manufacturing tools with existing systems, it streamlines operations, enhances collaboration, and supports a culture of quality throughout the production process.",categorical,7,7,
B2_1,"Which of the following best describes the value of Design-Driven Manufacturing to your company? Design-Driven Manufacturing enables seamless integration of digital product data from multiple sources into a secure, version-controlled environment, eliminating manual data re-entry and reducing errors. By connecting open manufacturing tools with existing systems, it streamlines operations, enhances collaboration, and supports a culture of quality throughout the production process.",categorical,8,8,
B2_1,"Which of the following best describes the value of Design-Driven Manufacturing to your company? Design-Driven Manufacturing enables seamless integration of digital product data from multiple sources into a secure, version-controlled environment, eliminating manual data re-entry and reducing errors. By connecting open manufacturing tools with existing systems, it streamlines operations, enhances collaboration, and supports a culture of quality throughout the production process.",categorical,9,9,
B2_1,"Which of the following best describes the value of Design-Driven Manufacturing to your company? Design-Driven Manufacturing enables seamless integration of digital product data from multiple sources into a secure, version-controlled environment, eliminating manual data re-entry and reducing errors. By connecting open manufacturing tools with existing systems, it streamlines operations, enhances collaboration, and supports a culture of quality throughout the production process.",categorical,10,10 Preeminent Value: This capability drives top value for our company.,
B3_1,"Which of the following best describes the difficulty or ease of adopting Design-Driven Manufacturing to your company? Design-Driven Manufacturing enables seamless integration of digital product data from multiple sources into a secure, version-controlled environment, eliminating manual data re-entry and reducing errors. By connecting open manufacturing tools with existing systems, it streamlines operations, enhances collaboration, and supports a culture of quality throughout the production process.",categorical,0,0 No Difficulty: Our pursuit of this initiative has encountered no difficulty.,
B3_1,"Which of the following best describes the difficulty or ease of adopting Design-Driven Manufacturing to your company? Design-Driven Manufacturing enables seamless integration of digital product data from multiple sources into a secure, version-controlled environment, eliminating manual data re-entry and reducing errors. By connecting open manufacturing tools with existing systems, it streamlines operations, enhances collaboration, and supports a culture of quality throughout the production process.",categorical,1,1,
B3_1,"Which of the following best describes the difficulty or ease of adopting Design-Driven Manufacturing to your company? Design-Driven Manufacturing enables seamless integration of digital product data from multiple sources into a secure, version-controlled environment, eliminating manual data re-entry and reducing errors. By connecting open manufacturing tools with existing systems, it streamlines operations, enhances collaboration, and supports a culture of quality throughout the production process.",categorical,2,2,
B3_1,"Which of the following best describes the difficulty or ease of adopting Design-Driven Manufacturing to your company? Design-Driven Manufacturing enables seamless integration of digital product data from multiple sources into a secure, version-controlled environment, eliminating manual data re-entry and reducing errors. By connecting open manufacturing tools with existing systems, it streamlines operations, enhances collaboration, and supports a culture of quality throughout the production process.",categorical,3,3,
B3_1,"Which of the following best describes the difficulty or ease of adopting Design-Driven Manufacturing to your company? Design-Driven Manufacturing enables seamless integration of digital product data from multiple sources into a secure, version-controlled environment, eliminating manual data re-entry and reducing errors. By connecting open manufacturing tools with existing systems, it streamlines operations, enhances collaboration, and supports a culture of quality throughout the production process.",categorical,4,4,
B3_1,"Which of the following best describes the difficulty or ease of adopting Design-Driven Manufacturing to your company? Design-Driven Manufacturing enables seamless integration of digital product data from multiple sources into a secure, version-controlled environment, eliminating manual data re-entry and reducing errors. By connecting open manufacturing tools with existing systems, it streamlines operations, enhances collaboration, and supports a culture of quality throughout the production process.",categorical,5,5 Moderate Difficulty: Our pursuit of this initiative has encountered moderate difficulty.,
B3_1,"Which of the following best describes the difficulty or ease of adopting Design-Driven Manufacturing to your company? Design-Driven Manufacturing enables seamless integration of digital product data from multiple sources into a secure, version-controlled environment, eliminating manual data re-entry and reducing errors. By connecting open manufacturing tools with existing systems, it streamlines operations, enhances collaboration, and supports a culture of quality throughout the production process.",categorical,6,6,
B3_1,"Which of the following best describes the difficulty or ease of adopting Design-Driven Manufacturing to your company? Design-Driven Manufacturing enables seamless integration of digital product data from multiple sources into a secure, version-controlled environment, eliminating manual data re-entry and reducing errors. By connecting open manufacturing tools with existing systems, it streamlines operations, enhances collaboration, and supports a culture of quality throughout the production process.",categorical,7,7,
B3_1,"Which of the following best describes the difficulty or ease of adopting Design-Driven Manufacturing to your company? Design-Driven Manufacturing enables seamless integration of digital product data from multiple sources into a secure, version-controlled environment, eliminating manual data re-entry and reducing errors. By connecting open manufacturing tools with existing systems, it streamlines operations, enhances collaboration, and supports a culture of quality throughout the production process.",categorical,8,8,
B3_1,"Which of the following best describes the difficulty or ease of adopting Design-Driven Manufacturing to your company? Design-Driven Manufacturing enables seamless integration of digital product data from multiple sources into a secure, version-controlled environment, eliminating manual data re-entry and reducing errors. By connecting open manufacturing tools with existing systems, it streamlines operations, enhances collaboration, and supports a culture of quality throughout the production process.",categorical,9,9,
B3_1,"Which of the following best describes the difficulty or ease of adopting Design-Driven Manufacturing to your company? Design-Driven Manufacturing enables seamless integration of digital product data from multiple sources into a secure, version-controlled environment, eliminating manual data re-entry and reducing errors. By connecting open manufacturing tools with existing systems, it streamlines operations, enhances collaboration, and supports a culture of quality throughout the production process.",categorical,10,10 Extreme Difficulty: Our pursuit of this initiative has encountered extreme difficulty.,
QB2,Please share some details about your company’s experience with this Design-Driven Manufacturing.,text,,,
CP_FLAG_QB2,"Hidden: QB2 = Flag if Cut, Copy, Paste",boolean,1,TRUE,
CP_FLAG_QB2,"Hidden: QB2 = Flag if Cut, Copy, Paste",boolean,0,FALSE,
HID_API_QB2_F1,Dummy holds follow-up question back from smart probe api,text,,,
QB2_Score,Score from api,text,,,
QB2_F1,pipe:HID_API_QB2_F1,text,,,
CP_FLAG_QB2_F1,"Hidden: QB2_F1 = Flag if Cut, Copy, Paste",boolean,1,TRUE,
CP_FLAG_QB2_F1,"Hidden: QB2_F1 = Flag if Cut, Copy, Paste",boolean,0,FALSE,
QB2_F1_Score,Score from api,text,,,
B1_2,"Which of the following best describes your company’s efforts to pursue Agile Production Configuration? Agile Production Configuration brings configuration management principles from design into manufacturing, enabling efficient handling of smaller lot sizes and high product variability. This approach streamlines planning, reduces setup and inventory costs, and ensures consistent quality and predictable pricing, even in dynamic production environments.",categorical,1,Not Pursued or Planned: Our company hasn’t pursued any effort like this.,
B1_2,"Which of the following best describes your company’s efforts to pursue Agile Production Configuration? Agile Production Configuration brings configuration management principles from design into manufacturing, enabling efficient handling of smaller lot sizes and high product variability. This approach streamlines planning, reduces setup and inventory costs, and ensures consistent quality and predictable pricing, even in dynamic production environments.",categorical,2,Planning Pursuit: Our company is planning to pursue this effort.,
B1_2,"Which of the following best describes your company’s efforts to pursue Agile Production Configuration? Agile Production Configuration brings configuration management principles from design into manufacturing, enabling efficient handling of smaller lot sizes and high product variability. This approach streamlines planning, reduces setup and inventory costs, and ensures consistent quality and predictable pricing, even in dynamic production environments.",categorical,3,Partially Pursued and Completed: Our company’s pursuit of this effort is in progress.,
B1_2,"Which of the following best describes your company’s efforts to pursue Agile Production Configuration? Agile Production Configuration brings configuration management principles from design into manufacturing, enabling efficient handling of smaller lot sizes and high product variability. This approach streamlines planning, reduces setup and inventory costs, and ensures consistent quality and predictable pricing, even in dynamic production environments.",categorical,4,Pursued and Completed: Our company has pursued and completed this effort.,
B1_2,"Which of the following best describes your company’s efforts to pursue Agile Production Configuration? Agile Production Configuration brings configuration management principles from design into manufacturing, enabling efficient handling of smaller lot sizes and high product variability. This approach streamlines planning, reduces setup and inventory costs, and ensures consistent quality and predictable pricing, even in dynamic production environments.",categorical,5,I do not understand what Agile Production Configuration means or the definition is ambiguous.,
B2_2,"Which of the following best describes the value of Agile Production Configuration to your company? Agile Production Configuration brings configuration management principles from design into manufacturing, enabling efficient handling of smaller lot sizes and high product variability. This approach streamlines planning, reduces setup and inventory costs, and ensures consistent quality and predictable pricing, even in dynamic production environments.",categorical,0,0 No Value: This capability drives no value for our company.,
B2_2,"Which of the following best describes the value of Agile Production Configuration to your company? Agile Production Configuration brings configuration management principles from design into manufacturing, enabling efficient handling of smaller lot sizes and high product variability. This approach streamlines planning, reduces setup and inventory costs, and ensures consistent quality and predictable pricing, even in dynamic production environments.",categorical,1,1,
B2_2,"Which of the following best describes the value of Agile Production Configuration to your company? Agile Production Configuration brings configuration management principles from design into manufacturing, enabling efficient handling of smaller lot sizes and high product variability. This approach streamlines planning, reduces setup and inventory costs, and ensures consistent quality and predictable pricing, even in dynamic production environments.",categorical,2,2,
B2_2,"Which of the following best describes the value of Agile Production Configuration to your company? Agile Production Configuration brings configuration management principles from design into manufacturing, enabling efficient handling of smaller lot sizes and high product variability. This approach streamlines planning, reduces setup and inventory costs, and ensures consistent quality and predictable pricing, even in dynamic production environments.",categorical,3,3,
B2_2,"Which of the following best describes the value of Agile Production Configuration to your company? Agile Production Configuration brings configuration management principles from design into manufacturing, enabling efficient handling of smaller lot sizes and high product variability. This approach streamlines planning, reduces setup and inventory costs, and ensures consistent quality and predictable pricing, even in dynamic production environments.",categorical,4,4,
